timestamp,person_id,x,y
0.05,personFlow1.0,266.84,167.201
0.05,personFlow2.0,272.571,187.96
0.1,personFlow1.0,266.84,167.255
0.1,personFlow2.0,272.509,187.96
0.15,personFlow1.0,266.84,167.319
0.15,personFlow2.0,272.443,187.96
0.2,personFlow1.0,266.84,167.377
0.2,personFlow2.0,272.371,187.96
0.25,personFlow1.0,266.84,167.432
0.25,personFlow2.0,272.302,187.96
0.3,personFlow1.0,266.84,167.49
0.3,personFlow2.0,272.24,187.959
0.35,personFlow1.0,266.84,167.555
0.35,personFlow2.0,272.177,187.959
0.4,personFlow1.0,266.84,167.614
0.4,personFlow2.0,272.111,187.959
0.45,personFlow1.0,266.84,167.672
0.45,personFlow2.0,272.043,187.959
0.5,personFlow1.0,266.84,167.737
0.5,personFlow2.0,271.983,187.959
0.55,personFlow1.0,266.84,167.797
0.55,personFlow2.0,271.92,187.959
0.6,personFlow1.0,266.84,167.862
0.6,personFlow2.0,271.855,187.959
0.65,personFlow1.0,266.84,167.923
0.65,personFlow2.0,271.817,187.958
0.7,personFlow1.0,266.84,167.976
0.7,personFlow2.0,271.757,187.954
0.75,personFlow1.0,266.84,168.029
0.75,personFlow2.0,271.69,187.95
0.8,personFlow1.0,266.84,168.088
0.8,personFlow2.0,271.621,187.945
0.85,personFlow1.0,266.84,168.152
0.85,personFlow2.0,271.553,187.941
0.9,personFlow1.0,266.84,168.207
0.9,personFlow2.0,271.482,187.937
0.95,personFlow1.0,266.84,168.26
0.95,personFlow2.0,271.41,187.932
1,personFlow1.0,266.84,168.316
1,personFlow2.0,271.343,187.928
1.05,personFlow1.0,266.84,168.38
1.05,personFlow2.0,271.272,187.924
1.1,personFlow1.0,266.84,168.439
1.1,personFlow2.0,271.214,187.92
1.15,personFlow1.0,266.84,168.501
1.15,personFlow2.0,271.144,187.916
1.2,personFlow1.0,266.84,168.564
1.2,personFlow2.0,271.08,187.912
1.25,personFlow1.0,266.84,168.626
1.25,personFlow2.0,271.019,187.908
1.3,personFlow1.0,266.84,168.69
1.3,personFlow2.0,270.957,187.904
1.35,personFlow1.0,266.84,168.746
1.35,personFlow2.0,270.893,187.9
1.4,personFlow1.0,266.84,168.802
1.4,personFlow2.0,270.834,187.897
1.45,personFlow1.0,266.84,168.854
1.45,personFlow2.0,270.766,187.893
1.5,personFlow1.0,266.84,168.913
1.5,personFlow2.0,270.702,187.889
1.55,personFlow1.0,266.84,168.976
1.55,personFlow2.0,270.643,187.885
1.6,personFlow1.0,266.84,169.039
1.6,personFlow2.0,270.58,187.881
1.65,personFlow1.0,266.84,169.102
1.65,personFlow2.0,270.508,187.877
1.7,personFlow1.0,266.84,169.163
1.7,personFlow2.0,270.443,187.873
1.75,personFlow1.0,266.84,169.216
1.75,personFlow2.0,270.372,187.868
1.8,personFlow1.0,266.84,169.279
1.8,personFlow2.0,270.314,187.865
1.85,personFlow1.0,266.84,169.34
1.85,personFlow2.0,270.246,187.861
1.9,personFlow1.0,266.84,169.404
1.9,personFlow2.0,270.182,187.857
1.95,personFlow1.0,266.84,169.467
1.95,personFlow2.0,270.112,187.852
2,personFlow1.0,266.84,169.531
2,personFlow2.0,270.041,187.848
2.05,personFlow1.0,266.84,169.587
2.05,personFlow2.0,269.973,187.844
2.1,personFlow1.0,266.84,169.648
